問題番号,分野,肢,文章,正誤,簡単な解説
平成29年度第3問,民法,ア,相続人Aは、いったん相続の承認をしたが、自己のために相続の開始があったことを知った時から3か月以内であれば、その承認を撤回することができる。,×,相続の承認又は放棄は、熟慮期間（3箇月）内であっても、一度すると撤回することができない（民法第919条第1項）。
平成29年度第3問,民法,イ,相続人Aが単独で単純承認をした場合、相続人Bは、限定承認をすることができない。,○,限定承認は、共同相続人の全員が共同してのみすることができる（民法第923条）ため、1人が単純承認すると他の者は限定承認できなくなる。
平成29年度第3問,民法,ウ,相続人Aは、相続の放棄をするためには、相続の放棄について相続人Bの承諾を得る必要がある。,×,相続の放棄は各相続人が単独で行うことができるものであり、他の共同相続人の承諾は不要である。
平成29年度第3問,民法,エ,相続人Aは、限定承認をした場合には、以後、善良な管理者の注意をもって、相続財産の管理を継続しなければならない。,×,※法改正により現在は×（当時の正解は○）。現行法では、相続の放棄をした者は、次の順位の相続人が管理を始めることができるまで、自己の財産に対するのと同一の注意をもって管理義務を負うが（第940条1項）、限定承認者に関する規定は異なる。
平成29年度第3問,民法,オ,相続人Aが相続の放棄をし、相続人Bは単純承認をしたが、相続財産たる表題登記のみがある不動産について、Aの債権者の申請により代位による所有権の保存の登記がされた後、Aの法定相続分に対する仮差押えの登記がされたときは、この仮差押えの登記は無効である。,○,相続放棄をした者は初めから相続人とならなかったものとみなされるため（民法第939条）、Aに対する仮差押え登記は無効である（判例）。
平成29年度第4問,不動産登記法,1,①は「物理的状況」、③は「登記情報」、⑤は「表題部と権利部」、⑦は「種類」である。,×,法の目的（1条）では不動産の「物理的現況」と「権利関係」を公示する。また、1筆の土地又は1個の「建物」ごとに「表題部と権利部」に区分して記録する（2条）。規則111条の建物の認定基準は「用途」に供し得る状態にあることである。
平成29年度第4問,不動産登記法,2,①は「物理的状況」、③は「登記情報」、⑤は「甲区と乙区」、⑦は「種類」である。,×,登記記録は「表題部と権利部」に区分される（2条）。「甲区と乙区」は権利部の中の区分である。
平成29年度第4問,不動産登記法,3,①は「物理的状況」、③は「登記事項」、⑤は「表題部と権利部」、⑦は「用途」である。,○,A（表示）は「物理的状況」、B（権利）は「権利関係」を公示する。登記記録は「登記事項」を「建物」ごとに「表題部と権利部」に区分して記録する。建物の要件はその目的とする「用途」に供し得ることである（規則111条）。
平成29年度第4問,不動産登記法,4,①は「権利関係」、③は「登記情報」、⑤は「甲区と乙区」、⑦は「種類」である。,×,A（表示に関する登記）が公示するのは「物理的現況」である。
平成29年度第4問,不動産登記法,5,①は「権利関係」、③は「登記事項」、⑤は「表題部と権利部」、⑦は「用途」である。,×,A（表示に関する登記）が公示するのは「物理的現況」である。
平成29年度第5問,不動産登記法,ア,所有権の登記名義人であるAの申請により、甲土地と乙土地との合筆の登記をする場合において、Aからあらかじめ登記識別情報の通知を希望しない旨の申出があったときは、登記識別情報は通知されない。,○,登記権利者が登記識別情報の通知を希望しない旨の申出をした場合には、通知されない（不動産登記法第21条ただし書）。
平成29年度第5問,不動産登記法,イ,所有権の登記名義人であるAの申請により、甲土地と乙土地との合筆の登記をする場合において、甲土地と乙土地に、登記の目的、申請の受付の年月日及び受付番号並びに登記原因及びその日付が同一のBを登記名義人とする抵当権の設定の登記がされているときは、Bに登記識別情報が通知される。,×,合筆の登記は権利に関する登記ではないため、抵当権者Bに対して新たな登記識別情報が通知されることはない。
平成29年度第5問,不動産登記法,ウ,Aを所有権の登記名義人とする甲土地と乙土地との合筆の登記を、資格者代理人Bが電子申請の方法により申請するに際し、Bが登記識別情報の通知を受けるための特別の委任を受けていた場合において、登記識別情報の送信が可能になった時から30日以内にBが自己の使用に係る電子計算機に備えられたファイルに当該登記識別情報を記録しないときは、Bに登記識別情報は通知されない。,×,電子申請の場合、登記識別情報はダウンロード可能な状態に置かれるが、30日以内にダウンロードしなかったからといって「通知されない」扱いになるわけではなく、単にダウンロード期間が経過するだけである（不動産登記規則第63条）。
平成29年度第5問,不動産登記法,エ,Aを所有権の登記名義人とする甲土地と乙土地との合筆の登記を、資格者代理人Bが書面申請の方法により申請するに際し、Bが登記識別情報の通知を受けるための特別の委任を受けていた場合において、登記完了の時から3月以内にBが登記識別情報を記載した書面を受領しないときは、Bに登記識別情報は通知されない。,○,書面交付による場合、登記完了後3箇月以内に受領しないときは、登記識別情報を記載した書面は廃棄され、通知されなかったものとみなされる（不動産登記規則第64条第2項）。
平成29年度第5問,不動産登記法,オ,官庁の嘱託により、当該官庁を所有権の登記名義人とする甲土地と乙土地との合筆の登記をする場合には、当該官庁からあらかじめ登記識別情報の通知を希望する旨の申出があっても、登記識別情報は通知されない。,○,官庁又は公署が登記権利者である場合、原則として登記識別情報は通知されない（不動産登記法第21条ただし書、第117条）。
平成29年度第6問,不動産登記法,ア,甲土地から乙土地を分筆する分筆の登記を申請する場合において、甲土地の不動産番号を申請情報の内容としたときは、分筆前の土地の所在、地番、地目及び地積を申請情報の内容とすることを要しない。,×,分筆の登記の場合、不動産番号を提供したとしても、従前の土地の所在、地番等は特定のために申請情報の内容とする必要がある。
平成29年度第6問,不動産登記法,イ,会社法人等番号を有する法人が所有する甲土地から乙土地を分筆する分筆の登記を申請する場合において、当該法人の会社法人等番号を添付情報として提供したときは、当該法人の代表者の氏名を申請情報の内容とすることを要しない。,×,会社法人等番号を提供した場合であっても、申請人である法人の代表者の氏名は申請情報の内容とする必要がある。
平成29年度第6問,不動産登記法,ウ,土地の表題部所有者の氏名についての更正の登記を申請する場合には、更正前の氏名を申請情報の内容とすることを要しない。,○,氏名の更正登記の申請においては、現在の登記記録上の氏名（更正前の氏名）と更正後の氏名を対比させるため、更正前の氏名を申請情報の内容とする。※ただし、問題文は「要しない」としているため、正解選択肢の文脈に基づき判定を要する。現行実務では変更・更正前と後を明確にする。（※解説修正：この肢は誤りを含む組合せ問題のため、誤りとするのが妥当）
平成29年度第6問,不動産登記法,エ,土地の表題登記を申請する場合において、土地の所有者であるA及びBの持分が相等しいときは、A及びBの持分を申請情報の内容とすることを要しない。,×,表題登記を共有で申請する場合、持分が均等であっても、各共有者の持分は必ず申請情報の内容としなければならない。
平成29年度第6問,不動産登記法,オ,甲土地から乙土地を分筆する分筆の登記を申請する場合において、登録免許税が免除されるときは、免除の根拠となる法令の条項を申請情報の内容としなければならない。,○,登録免許税の免除を受ける場合は、その根拠となる法令の条項を申請情報の内容としなければならない（不動産登記規則第43条）。
平成29年度第7問,不動産登記法,ア,Aが所有権の登記名義人である互いに接続する2個の区分建物について、隔壁の除去などの物理的な変更を伴わずに1個の区分建物ではない建物とする場合に行う登記の申請には、所有権を有することを証する情報を添付しなければならない。,×,区分建物を非区分建物とする変更登記（区分建物の合併）においては、既に所有権の登記があるため、新たに所有権証明情報の提供は不要である。
平成29年度第7問,不動産登記法,イ,Aが所有権の登記名義人である建物について、一部取壊しの工事が完了した3週間後に増築の工事が完成した場合において、一の申請情報によって建物の表題部の変更の登記を申請するときは、全ての工事完成後の床面積が減少する場合であっても、所有権を有することを証する情報を添付しなければならない。,○,一部取壊しと増築が別個の工事である場合、増築部分について新たな所有権が発生しているため、結果的に床面積が減少していても所有権証明情報の提供が必要である。
平成29年度第7問,不動産登記法,ウ,Aが所有権の登記名義人である建物の全部を取り壊し、当該建物の材料を用いて当該建物と同じ種類、構造及び床面積の建物を別の土地に建築した場合に行う登記の申請には、所有権を有することを証する情報を添付しなければならない。,○,既存建物を解体して別の場所に建築した場合は「建物の新築」にあたり、新築建物の表題登記となるため、所有権証明情報の提供が必要である。
平成29年度第7問,不動産登記法,エ,Aが所有権の登記名義人である建物の屋根を瓦から亜鉛メッキにふき替える工事を行った場合に行う登記の申請には、所有権を有することを証する情報を添付しなければならない。,×,屋根のふき替えは建物の構造の変更（表題部変更登記）にすぎず、新たな建物の創出（増築等）ではないため、所有権証明情報の提供は不要である。
平成29年度第7問,不動産登記法,オ,Aが所有権の登記名義人である種類が車庫の建物について、床面積を変更することなく、当該車庫の開口部にシャッターを設置して倉庫とした場合に行う登記の申請には、所有権を有することを証する情報を添付しなければならない。,×,種類の変更（車庫→倉庫）は建物の物理的現況の変更にすぎず、新たな建物の創出ではないため、所有権証明情報の提供は不要である。
平成29年度第8問,不動産登記法,ア,申請人又はその代表者若しくは代理人が、申請情報に電子署名を行わなければなりません。,○,電子申請においては、原則として申請人等が申請情報に電子署名を行う必要がある（不動産登記規則第43条）。
平成29年度第8問,不動産登記法,イ,添付情報は、電子署名が行われている必要はありません。,×,電子申請において提供する添付情報（電磁的記録）にも、作成者による電子署名が行われている必要がある（不動産登記規則第43条の2）。
平成29年度第8問,不動産登記法,ウ,電子署名を行った者を確認するために、電子証明書を送信しなければなりません。,○,電子署名を行った場合は、あわせてその電子署名に係る電子証明書を提供（送信）しなければならない（不動産登記規則第43条第2項）。
平成29年度第8問,不動産登記法,エ,当該電磁的記録を作成した者による電子署名が行われているものでなければなりません。,○,書面をスキャナ等で電磁的記録にした場合でも、その作成者（スキャンした者ではなく、元の書面の作成者）による電子署名が必要となる（特例方式を除く）。
平成29年度第8問,不動産登記法,オ,あくまで当該電磁的記録に記録したものが添付情報となりますので、当該書面を登記官に提示する必要はありません。,×,書面を提出する方法（特例方式）ではなく、フルオンライン申請を前提とする場合であっても、提示を求められる場合はあるが、問題文の前提（書面提出の特例を除く）においては、電磁的記録のみで完結するため、提示は原則不要とされる。（※この問題の組合せにおいて、「イ」が明確な誤りであるため、解答を導く構成となっている）
平成29年度第9問,不動産登記法,ア,建物の表題登記の申請をする際に所有権を有することを証する情報として提供した工事施工会社作成に係る工事完了引渡証明書に添付する印鑑に関する証明書は、原本の還付を請求することができる。,○,印鑑証明書は、原則として原本還付の対象となる（不動産登記規則第55条）。
平成29年度第9問,不動産登記法,イ,所有権の登記がある建物についての建物の合併の登記を資格者代理人から申請する場合において、当該資格者代理人が作成し提供する本人確認情報は、原本の還付を請求することができる。,×,資格者代理人が作成した本人確認情報は、当該登記申請のためだけに作成されたものであり、原本還付を請求することはできない（不動産登記規則第55条第1項ただし書）。
平成29年度第9問,不動産登記法,ウ,建物の表題部の変更の登記を表題部所有者の相続人が申請する場合において、相続を証する書面として提供した戸籍謄本又は抄本及び除籍謄本は、相続関係説明図を添付することにより、原本の還付を請求することができる。,○,相続を証する書面（戸籍謄本等）は、相続関係説明図を提供することで原本還付を請求することができる（不動産登記規則第55条第2項）。
平成29年度第9問,不動産登記法,エ,所有権の登記がある建物について建物の合体による登記等を申請する際に提供した登記識別情報を記載した書面は、原本の還付を請求することができる。,×,登記識別情報を提供した書面は、手続終了後に原本還付を求めることはできない。
平成29年度第9問,不動産登記法,オ,原本の還付は、申請人の申出があっても、原本を送付する方法によってすることができない。,×,原本の還付は、申請人の申出により、郵送等の送付の方法によって行うことができる（不動産登記規則第55条第4項）。
平成29年度第10問,不動産登記法,ア,電子申請の方法による登記の申請の取下げは、電子情報処理組織を使用して申請を取り下げる旨の情報を登記所に提供する方法によってしなければならない。,○,電子申請の取下げは、原則として電子情報処理組織（オンライン）を使用して行わなければならない（不動産登記規則第39条）。
平成29年度第10問,不動産登記法,イ,登記官が登記を完了した後であっても、登記完了証が交付されるまでの間は、登記の申請の取下げをすることができる。,×,登記の申請の取下げは、登記官が登記を完了するまでの間（処理を完了する前）に限り行うことができる（不動産登記法第39条）。
平成29年度第10問,不動産登記法,ウ,書面申請の方法による登記の申請であって登録免許税の納付を要するものを取り下げた者は、当該登記の申請書に貼り付けられた印紙で消印がされたものを当該取下げの日から1年以内に再使用したい旨の申出をすることができる。,×,登録免許税法上、印紙で納付した場合の再使用の制度（再使用証明）は廃止されており、還付通知の手続となる。
平成29年度第10問,不動産登記法,エ,書面申請の方法による登記の申請が却下されたときは、偽造された書面その他の不正な登記の申請のために用いられた疑いがある書面を除き、申請書及びその添付書面はいずれも還付される。,×,却下された場合、添付書面は還付されるが、申請書自体は登記所に保存されるため還付されない（不動産登記規則第38条）。
平成29年度第10問,不動産登記法,オ,委任による代理人によってされた登記の申請が却下されるときであっても、却下決定書は、当該登記の申請人に交付され、当該代理人に交付されることはない。,×,代理人によって申請された場合、却下決定書は代理人に対して交付（送達）される。
平成29年度第11問,不動産登記法,ア,表題部所有者であるAの住所が登記上の住所から数回にわたって変更を生じている場合であっても、直ちに現在の住所に変更する旨の表題部所有者の住所についての変更の登記を申請することができる。,○,表題部所有者の住所変更については、中間の住所変更の経過を省略して直ちに現在の住所に変更する登記を申請することができる。
平成29年度第11問,不動産登記法,イ,表題部所有者であるA及びBの持分が誤ってAは3分の2、Bは3分の1と登記されているが、真実の持分はAが4分の3、Bが4分の1である場合には、これを是正するためのA及びBの持分についての更正の登記は、Bの承諾を証する情報を提供しても、Aが単独で申請することはできない。,×,持分の更正登記は原則として共有者全員で申請するが、他の共有者（B）の承諾を証する情報を提供した場合には、Aが単独で申請することができる（不動産登記規則第10条）。
平成29年度第11問,不動産登記法,ウ,表題部所有者がA及びBである場合において、Bが死亡してその相続人がAのみであるときは、Aは自己のみを表題部所有者とする表題部所有者の変更の登記を申請することができる。,×,表題部所有者に相続が生じた場合、相続による表題部所有者の変更登記は認められておらず、相続人名義で直接所有権保存登記を申請する必要がある。
平成29年度第11問,不動産登記法,エ,真実の所有者がA及びBであるにもかかわらず、Bのみが表題部所有者として登記されている場合において、A及びBが、Aの持分を2分の1、Bの持分を2分の1とする表題部所有者についての更正の登記を申請するときは、新たに表題部所有者となるAの住所を証する情報を提供しなければならない。,○,表題部所有者の更正により新たに表題部所有者として記録される者（A）については、住所を証する情報（住民票等）を提供しなければならない。
平成29年度第11問,不動産登記法,オ,表題部所有者である特例有限会社Aは、その商号中に株式会社という文字を用いる商号の変更をした場合であっても、表題部所有者の名称についての変更の登記を申請することができない。,×,特例有限会社が株式会社へ移行した場合、法人格の同一性は維持されるため、表題部所有者の名称についての変更の登記を申請することができる。
平成29年度第12問,不動産登記法,ア,地図に準ずる図面に表示された土地の地番に誤りがある場合において、その訂正の申出をするときは、地図訂正申出情報と併せて土地所在図又は地積測量図を提供しなければならない。,×,地番の訂正など、土地の形状や区画に関わらない誤りの訂正申出においては、土地所在図や地積測量図の提供は不要である。
平成29年度第12問,不動産登記法,イ,地図に準ずる図面に表示された土地の形状に誤りがある場合において、その訂正の申出をするときは、地図訂正申出情報と併せて土地所在図又は地積測量図を提供しなければならない。,○,土地の形状に誤りがある場合（筆界の訂正等）には、正しい形状を示す土地所在図又は地積測量図を提供しなければならない。
平成29年度第12問,不動産登記法,ウ,地図に表示された隣接する二筆の土地の区画の誤りの訂正の申出をする場合において、当該土地が同一の登記所の管轄区域内にあるときは、一の地図訂正申出情報により申出をすることができる。,○,同一の登記所の管轄区域内にあり、訂正の目的が密接に関連する場合には、一の申出情報によって申し出ることができる。
平成29年度第12問,不動産登記法,エ,地図に表示された土地の区画に誤りがある場合に、当該土地の所有権を売買により取得した者は、所有権の移転の登記を受ける前であっても、当該土地の区画の誤りの訂正の申出をすることができる。,×,地図の訂正の申出をすることができるのは、その土地の表題部所有者又は所有権の登記名義人に限られる（未登記の取得者は申出できない）。
平成29年度第12問,不動産登記法,オ,地図に表示された土地の区画に誤りがある場合において、当該土地の登記記録の地積に錯誤があるときは、当該土地の区画の誤りの訂正の申出は、地積に関する更正の登記の申請と併せてしなければならない。,○,地図の区画訂正の結果として地積の更正が必要となる場合には、区画訂正の申出は地積更正登記の申請と併せて行わなければならない（不動産登記規則第15条第3項）。
平成29年度第13問,不動産登記法,ア,分筆線を誤って申請されたことによる分筆の登記を是正する場合には、地積に関する更正の登記を申請する。,○,錯誤による分筆登記を是正する場合、分筆登記の抹消ではなく、分筆に係る双方の土地について地積及び筆界の更正登記を申請して是正する。
平成29年度第13問,不動産登記法,イ,天災等の自然現象によって一筆の土地の一部が常時海面下に没する状態になった場合には、地積に関する変更の登記を申請する。,○,土地の一部が常時海面下に没して復旧の見込みがない場合、その部分は土地としての性質を失うため、一部滅失として地積変更の登記を申請する。
平成29年度第13問,不動産登記法,ウ,天災等の自然現象によって一筆の土地の全部が海面下に没したが、その状態が一時的なものである場合には、滅失の登記を申請する。,×,一時的に海面下に没したにすぎず、将来復旧の見込みがある場合には、土地としての性質を失っていないため滅失の登記の対象とはならない。
平成29年度第13問,不動産登記法,エ,一筆の土地の全部が河川法第6条第1項の河川区域内の土地になった場合には、河川区域内の土地である旨の登記をする。,×,※法改正により当該登記は廃止。平成24年の不動産登記法改正により、河川区域内である旨の登記は廃止されたため、現在このような登記はなされない。
平成29年度第13問,不動産登記法,オ,河川法第6条第1項の河川区域内の一筆の土地の一部が滅失した場合には、分筆及び滅失の登記を申請する。,×,土地の一部が滅失した場合に行うのは「分筆」ではなく、一部滅失を原因とする「地積の変更の登記」である。
平成29年度第14問,不動産登記法,ア,Aを所有権の登記名義人とする甲土地と乙土地のうち、乙土地にのみ抵当権の設定の登記がされている場合には、当該抵当権の登記名義人が作成した当該抵当権を消滅させることを承諾したことを証する情報を添付して、甲土地を乙土地に合筆する登記を申請することができる。,×,一部の土地にのみ抵当権が存在する場合、承諾書を添付するだけでは合筆できず、事前に抵当権の抹消登記を完了させなければならない。
平成29年度第14問,不動産登記法,イ,甲土地と乙土地に、登記の目的、申請の受付の年月日及び受付番号並びに登記原因及びその日付が同一の抵当権の設定の登記がされている場合において、その後、甲土地についてのみ抵当権の順位の変更の登記がされているときは、甲土地を乙土地に合筆する登記を申請することはできない。,○,共同抵当権であっても、その後に一方のみ順位変更等の登記がなされると権利関係の同一性が失われるため、合筆は制限される。
平成29年度第14問,不動産登記法,ウ,甲土地の所有権の登記名義人がA、乙土地の所有権の登記名義人がBである場合において、Aが死亡してその相続人がBのみであるときは、甲土地の所有権の移転の登記をしなくても、BがAの唯一の相続人であることを証する情報を提供すれば、合筆の登記を申請することができる。,×,合筆するためには所有権の登記名義人が同一である必要があるため、事前にAからBへの相続による所有権移転登記を完了させなければならない。
平成29年度第14問,不動産登記法,エ,乙土地の所有権の登記名義人であるAを地上権者とする地上権の設定の登記が、Bを所有権の登記名義人とする甲土地にされている場合には、その後にAが甲土地の所有権の登記名義人になったときであっても、当該地上権の抹消の登記をした後でなければ、合筆の登記を申請することはできない。,○,Aが甲土地を取得したことで自己の土地に地上権を有することになり（混同の原則）、合筆においては権利関係を整理するため、混同による地上権抹消登記を先行しなければならない。
平成29年度第14問,不動産登記法,オ,地図を作成するために必要があると認めるときは、甲土地と乙土地の所有権の登記名義人であるAに異議があるときであっても、登記官は、職権で、合筆の登記をすることができる。,×,地図作成作業に伴う登記官の職権合筆であっても、所有権の登記名義人から異議が述べられた場合には行うことができない（不動産登記法第41条）。
平成29年度第15問,不動産登記法,ア,新築した建物又は区分建物以外の表題登記がない建物の所有権を取得した者は、その所有権の取得の日から1月以内に、表題登記を申請しなければならない。,○,建物を新築した者や未登記建物の所有権を取得した者は、取得の日から1箇月以内に建物の表題登記を申請する義務を負う（不動産登記法第47条第1項）。
平成29年度第15問,不動産登記法,イ,区分建物である建物が新築され、その表題登記完了後に規約敷地が生じたときであっても、区分建物の表題部所有者は、区分建物の表題部の変更の登記を申請することを要しない。,×,事後的に規約敷地が生じた場合、敷地権の変更が生じるため、区分建物の所有者は1箇月以内に表題部の変更登記を申請する義務がある（不動産登記法第51条）。
平成29年度第15問,不動産登記法,ウ,いずれも表題登記があるが所有権の登記がない二以上の建物が合体して1個の建物となった場合には、当該建物の表題部所有者は、当該合体の日から1月以内に、合体後の建物についての建物の表題登記及び合体前の建物についての建物の表題部の登記の抹消を申請しなければならない。,○,建物の合体が生じた場合、合体の日から1箇月以内に、合体後の建物の表題登記及び合体前の建物の表題部抹消登記を申請しなければならない（不動産登記法第49条第1項）。
平成29年度第15問,不動産登記法,エ,区分建物の種類に変更があった後に共用部分である旨の登記がされた場合には、当該登記がされた区分建物の所有者は、共用部分である旨の規約を設定した日から1月以内に、当該区分建物の種類の変更の登記を申請しなければならない。,×,共用部分である旨の登記がなされると、表題部所有者や所有権登記名義人の表示が抹消されるため、以後の物理的現況の変更登記は管理者が行うことになり、元の所有者は申請義務を負わない。
平成29年度第15問,不動産登記法,オ,甲区分建物及び乙区分建物からなる一棟の建物の床面積に変更がある場合において、甲区分建物の所有権の登記名義人が、当該一棟の建物の表題部の変更の登記を申請したときは、乙区分建物の所有権の登記名義人も、当該一棟の建物の表題部の変更の登記を申請しなければならない。,×,一棟の建物の表示に関する変更登記は、区分所有者の一人が申請すれば全員のためにその効力が生じるため、他の区分所有者が重ねて申請する義務はない。
平成29年度第16問,不動産登記法,ア,主要構造部が鉄骨造であって、壁構造ではない建物で、当該建物の外壁に軽量気泡コンクリートを使用している場合には、建物の構造欄には、「鉄骨・鉄筋コンクリート造」と表示する。,×,ALC（軽量気泡コンクリート）は外壁材にすぎず主要構造部ではないため、この建物の構造欄の主たる部分は「鉄骨造」と表示される。
平成29年度第16問,不動産登記法,イ,床面積が100.00平方メートルの平家建の建物で、当該建物の床面積の65.00平方メートルの部分の屋根がスレートでふかれており、残りの床面積の部分の屋根がかわらでふかれているときは、建物の構造欄には、かわら及びスレートをいずれも表示の対象とするが、順序は問わない。,×,異なる屋根材が用いられている場合、施工面積の広いものから順に表示するルールであるため、「スレート・かわらぶき」と表示しなければならない。
平成29年度第16問,不動産登記法,ウ,2階層からなる建物の2階層部分の天井の上に、収納式の階段を利用して出入りする構造で物置として使用されている屋根裏部屋がある場合において、当該屋根裏部屋の床から天井までの高さが1.5メートルであるときは、建物の構造欄には、「3階建」と表示する。,○,屋根裏部屋であっても、天井高が1.5m以上あるなどの要件を満たせば床面積に算入され、1つの階層として扱われるため「3階建」と表示される。
平成29年度第16問,不動産登記法,エ,3階層からなる建物の1階層部分の床面が地盤面下にある場合において、1階層部分の床面から地盤面までの高さが1.1メートルで1階層部分の床面から1階層部分の天井までの高さが2.7メートルのときは、建物の構造欄には、「3階建」と表示する。,×,床面から地盤面までの高さ（1.1m）が天井高（2.7m）の3分の1以上であるため、この階は「地階」に該当し、「地下1階付2階建」等と表示しなければならない。
平成29年度第16問,不動産登記法,オ,店舗として使用されている平家建の建物が鉄骨の柱により地盤面から2.0メートル床上げされている場合において、床上げされた場所が外気と遮断する壁のない店舗用の駐車場として使用されているときは、建物の構造欄には、「平家建」と表示する。,○,高床式建物の下部が外気と分断されていない駐車場等である場合、その部分は階数（床面積）に算入されないため、構造は「平家建」となる。
平成29年度第17問,不動産登記法,ア,Aを表題部所有者とする区分建物ではない甲建物に接続してBにより乙区分建物が新築されて一棟の建物となったことによって、甲建物が区分建物になった場合において、甲建物の表題部の変更の登記及び乙区分建物についての表題登記を申請するときは、A及びBは、住所を証する情報を提供しなければならない。,×,Aは既に甲建物の表題部所有者として登記されているため、新たに表題部所有者となるわけではなく、住所証明情報の提供は不要である。
平成29年度第17問,不動産登記法,イ,甲区分建物が属する一棟の建物が所在する土地を分筆したことにより当該一棟の建物が所在する土地の地番が変更した場合において、甲区分建物についての表題部の変更の登記を申請するときは、添付情報として変更後の建物図面及び各階平面図を提供しなければならない。,×,敷地の分筆により地番が変更されたことに伴う建物の所在の変更登記においては、建物の物理的形状等に変化がないため、建物図面等の提供は不要である。
平成29年度第17問,不動産登記法,ウ,いずれも表題登記がある区分建物ではない甲建物及び乙建物が増築工事により相互に接続して区分建物になった場合には、甲建物及び乙建物についての表題部の変更の登記の申請は、一括してしなければならない。,○,非区分建物同士が接続して区分建物となる変更登記は、一棟の建物全体の構成を明らかにするため、一括して申請しなければならない（不動産登記法第51条）。
平成29年度第17問,不動産登記法,エ,所有権が敷地権として登記されているいずれも主である甲区分建物及び乙区分建物を区分合併して、これらの区分建物が属する一棟の建物が区分建物ではない建物になった場合におけるこれらの区分建物の区分合併の登記の申請は、敷地権の表示を抹消するための区分建物の表題部の変更の登記の申請と併せてしなければならない。,○,区分合併により非区分建物となる場合、敷地権という概念が存在しなくなるため、敷地権の抹消登記（表題部変更）と併せて申請しなければならない。
平成29年度第17問,不動産登記法,オ,甲区分建物の所有権の原始取得者が甲区分建物の表題登記を申請しない場合には、甲区分建物の転得者は、当該原始取得者に代位して甲区分建物の表題登記を申請することができる。,×,区分建物の転得者は、原始取得者に代位するのではなく、直接自己を表題部所有者とする表題登記を「自ら」申請することができる（不動産登記法第47条第2項）。
平成29年度第18問,不動産登記法,ア,建物の所有権の登記名義人が当該建物を自ら取り壊した場合において、当該建物の滅失の登記の申請をするときは、当該登記名義人の印鑑に関する証明書を添付しなければならない。,×,建物の滅失登記は表示に関する登記であり、登記義務者が権利を失う権利の登記ではないため、申請書への実印の押印や印鑑証明書の添付は義務付けられていない。
平成29年度第18問,不動産登記法,イ,建物図面が備え付けられていない建物を取り壊した場合において、当該建物の滅失の登記の申請をするときは、当該建物が存していた場所を特定するために建物図面を添付しなければならない。,×,建物が滅失して物理的に存在しなくなったことの登記であるため、所在を特定するための新たな建物図面を作成・添付する必要はない。
平成29年度第18問,不動産登記法,ウ,団地共用部分である旨の登記がある建物の滅失の登記を申請する場合には、当該建物の所有者を証する情報を添付しなければならない。,○,団地共用部分である旨の登記により権利に関する登記が抹消されているため、申請人が正当な所有者（管理者等）であることを証する情報の提供が必要である。
平成29年度第18問,不動産登記法,エ,借地上に存する建物の所有権の登記名義人が当該建物を建替えのために取り壊した場合には、当該借地に賃借権の設定の登記がされていないときであっても、当該建物の所有権の登記名義人は、当該建物の滅失の登記を申請しなければならない。,○,借地権の登記の有無に関わらず、建物が滅失した事実があれば、所有者は1箇月以内に建物の滅失登記を申請する義務を負う。
平成29年度第18問,不動産登記法,オ,抵当権の設定の登記がある建物が焼失した場合において、当該建物の滅失の登記の申請をするときは、当該抵当権の登記名義人の承諾を証する情報を添付しなければならない。,×,建物の焼失による滅失は客観的な物理的事実に基づくものであり、利害関係人（抵当権者）の承諾は不要である。
平成29年度第19問,不動産登記法,ア,筆界調査委員は、対象土地の筆界特定のために必要な事実の調査に当たっては、筆界特定が対象土地の所有権の境界の特定をも目的とするものであることに留意しなければならない。,×,筆界特定制度はあくまで公法上の境界である「筆界」を特定するものであり、私法上の「所有権の境界」の特定を目的とするものではない。
平成29年度第19問,不動産登記法,イ,筆界調査委員は、あらかじめ、筆界特定の申請人及び関係人に対し、対象土地の測量又は実地調査を行う旨並びにその日時及び場所を通知して、これに立ち会う機会を与えた場合には、当該申請人及び関係人が立会いをしないときであっても、当該筆界調査委員は、当該対象土地の測量又は実地調査をすることができる。,○,立ち会う機会を事前に与えていれば、申請人等が実際に立ち会わなかった場合でも、実地調査等を行うことができる（不動産登記法第137条第2項）。
平成29年度第19問,不動産登記法,ウ,筆界調査委員は、意見聴取等の期日に立ち会う場合には、筆界特定登記官の許可を得なくとも、筆界特定の申請人若しくは関係人又は参考人に対し質問を発することができる。,×,筆界調査委員が期日において申請人等に質問を発するには、期日を主宰する筆界特定登記官の許可を得なければならない。
平成29年度第19問,不動産登記法,エ,筆界調査委員は、筆界特定のために、柵で囲まれた他人の占有する土地の実地調査をする場合において、当該土地の占有者の承諾があるときは、日出前であっても、当該土地に立ち入ることができる。,○,原則として日出前・日没後の立ち入りは禁止されているが、土地の占有者の承諾がある場合には立ち入ることができる（不動産登記法第134条第2項ただし書）。
平成29年度第19問,不動産登記法,オ,筆界特定の関係人は、筆界が特定されるまでの間は、当該筆界特定の手続において作成された調書及び提出された資料を閲覧することはできない。,×,筆界特定の関係人は、手続の係属中（特定される前）であっても、作成された調書や提出資料の閲覧を請求することができる（不動産登記法第141条）。
平成29年度第20問,土地家屋調査士法,ア,土地家屋調査士法人は、定款又は総社員の同意によって、社員のうち特に土地家屋調査士法人を代表すべきものを定めることができる。,○,土地家屋調査士法人は、原則として各自が法人を代表するが、定款又は総社員の同意により特定の代表社員を定めることができる（土地家屋調査士法第36条の2）。
